ID_number,Orangutan,Date,Follow_number,GRT,Distance,Age-sex,Lost_unable_to_follow
1,WA,25-May-13,6113,45,863,Nulliparous Female,
1,WA,25-May-13,6113,60,438,Nulliparous Female,
1,WA,25-May-13,6113,80,436,Nulliparous Female,
1,WA,25-May-13,6113,125,814,Nulliparous Female,
3,BIB,07-Apr-16,7010,45,826,Parous Female,
3,BIB,07-Apr-16,7010,60,822,Parous Female,
3,BIB,07-Apr-16,7010,80,688,Parous Female,
6,BEN,03-Aug-16,7106,45,281,Unflanged Male,
6,BEN,03-Aug-16,7106,60,284,Unflanged Male,
6,BEN,03-Aug-16,7106,80,498,Unflanged Male,
9,BIB,26-Sep-16,7154,45,69,Parous Female,
9,BIB,26-Sep-16,7154,60,155,Parous Female,
9,BIB,26-Sep-16,7154,80,333,Parous Female,
10,BIB,22-Oct-16,7174,45,235,Parous Female,
10,BIB,22-Oct-16,7174,60,510,Parous Female,
10,BIB,22-Oct-16,7174,80,502,Parous Female,
11,BIB,04-Nov-16,7191,45,285,Parous Female,
11,BIB,04-Nov-16,7191,60,417,Parous Female,
11,BIB,04-Nov-16,7191,80,118,Parous Female,
12,WA,08-Nov-16,7198,45,38,Parous Female,
12,WA,08-Nov-16,7198,60,138,Parous Female,
12,WA,08-Nov-16,7198,80,615,Parous Female,
14,ND,02-Mar-16,6995,45,565,Unflanged Male,
14,ND,02-Mar-16,6995,60,903,Unflanged Male,
14,ND,02-Mar-16,6995,80,815,Unflanged Male,
16,BIB,12-May-16,7042,45,404,Parous Female,
16,BIB,12-May-16,7042,60,678,Parous Female,
16,BIB,12-May-16,7042,80,1159,Parous Female,
17,BIB,05-Dec-16,7214,45,167,Parous Female,
17,BIB,05-Dec-16,7214,60,406,Parous Female,
17,BIB,05-Dec-16,7214,80,214,Parous Female,
17,BIB,05-Dec-16,7214,125,482,Parous Female,
19,WA,02-Apr-15,6737,45,647,Parous Female,
19,WA,02-Apr-15,6737,60,850,Parous Female,
19,WA,02-Apr-15,6737,80,795,Parous Female,
19,WA,02-Apr-15,6737,125,264,Parous Female,
20,WA,11-Apr-15,6745,45,186,Parous Female,
20,WA,11-Apr-15,6745,60,365,Parous Female,
21,AF,13-Apr-15,6749,45,361,Flanged Male,
21,AF,13-Apr-15,6749,60,310,Flanged Male,
22,WA,18-Aug-15,6837,45,320,Parous Female,
22,WA,18-Aug-15,6837,60,509,Parous Female,
22,WA,18-Aug-15,6837,80,510,Parous Female,
23,PU,17-Nov-15,6888,45,153,Flanged Male,
23,PU,17-Nov-15,6888,60,204,Flanged Male,
23,PU,17-Nov-15,6888,80,217,Flanged Male,
23,PU,17-Nov-15,6888,125,269,Flanged Male,
24,LG,27-Nov-15,6898,45,282,Flanged Male,Y
25,PU,29-Dec-15,6931,45,1088,Flanged Male,
25,PU,29-Dec-15,6931,60,1022,Flanged Male,
26,KB,11-Feb-15,6694,45,614,Parous Female,
26,KB,11-Feb-15,6694,60,418,Parous Female,
26,KB,11-Feb-15,6694,80,228,Parous Female,
28,PU,22-Feb-15,6708,45,437,Flanged Male,
28,PU,22-Feb-15,6708,60,242,Flanged Male,
28,PU,22-Feb-15,6708,80,229,Flanged Male,
30,TA,09-Jan-15,6660,45,512,Parous Female,
30,TA,09-Jan-15,6660,60,736,Parous Female,
30,TA,09-Jan-15,6660,80,473,Parous Female,
31,DE,01-Feb-15,6693,45,1066,Parous Female,
31,DE,01-Feb-15,6693,60,1259,Parous Female,
31,DE,01-Feb-15,6693,80,1330,Parous Female,
32,WA,20-Jan-15,6678,45,557,Nulliparous Female,
32,WA,20-Jan-15,6678,60,591,Nulliparous Female,
32,WA,20-Jan-15,6678,80,826,Nulliparous Female,
34,BT,26-Jul-15,6801,45,287,Parous Female,
34,BT,26-Jul-15,6801,60,521,Parous Female,
34,BT,26-Jul-15,6801,80,812,Parous Female,
34,BT,26-Jul-15,6801,125,714,Parous Female,
35,BIB,20-Jun-15,6785,60,83,Parous Female,
37,BIB,12-May-15,6766,45,477,Parous Female,
37,BIB,12-May-15,6766,60,605,Parous Female,
37,BIB,12-May-15,6766,125,660,Parous Female,
38,BER,22-May-15,6776,45,253,Nulliparous Female,
38,BER,22-May-15,6776,60,353,Nulliparous Female,
39,WA,06-Jul-15,6796,45,801,Parous Female,
39,WA,06-Jul-15,6796,60,682,Parous Female,
39,WA,06-Jul-15,6796,80,759,Parous Female,
40,WA,13-Mar-15,6717,45,724,Parous Female,
40,WA,13-Mar-15,6717,60,732,Parous Female,
40,WA,13-Mar-15,6717,80,921,Parous Female,
40,WA,13-Mar-15,6717,125,780,Parous Female,
41,WA,17-Mar-15,6721,45,274,Parous Female,
41,WA,17-Mar-15,6721,60,266,Parous Female,
41,WA,17-Mar-15,6721,80,165,Parous Female,
41,WA,17-Mar-15,6721,125,463,Parous Female,
42,WA,21-Mar-15,6725,45,61,Parous Female,
42,WA,21-Mar-15,6725,60,351,Parous Female,
42,WA,21-Mar-15,6725,80,195,Parous Female,
42,WA,21-Mar-15,6725,125,885,Parous Female,
43,CD,08-May-15,6759,45,41,Flanged Male,
43,CD,08-May-15,6759,60,60,Flanged Male,
43,CD,08-May-15,6759,80,107,Flanged Male,
44,MK,26-Oct-13,6243,45,666,Unflanged Male,Y
44,MK,26-Oct-13,6243,60,525,Unflanged Male,Y
47,MK,01-Sep-13,6189,45,357,Unflanged Male,
47,MK,01-Sep-13,6189,60,645,Unflanged Male,
47,MK,01-Sep-13,6189,80,1381,Unflanged Male,
49,SS,10-Dec-13,6287,45,479,Unflanged Male,
49,SS,10-Dec-13,6287,60,743,Unflanged Male,
49,SS,10-Dec-13,6287,80,826,Unflanged Male,
49,SS,10-Dec-13,6287,125,237,Unflanged Male,
51,AY,25-Dec-13,6302,45,687,Parous Female,
51,AY,25-Dec-13,6302,60,968,Parous Female,
51,AY,25-Dec-13,6302,80,706,Parous Female,
52,BU,17-May-13,6107,45,688,Parous Female,
52,BU,17-May-13,6107,60,914,Parous Female,
52,BU,17-May-13,6107,80,289,Parous Female,
55,BIB,13-Nov-13,6268,60,501,Parous Female,
55,BIB,13-Nov-13,6268,80,383,Parous Female,
56,SS,17-Nov-13,6275,45,1669,Unflanged Male,
56,SS,17-Nov-13,6275,60,1529,Unflanged Male,
56,SS,17-Nov-13,6275,80,840,Unflanged Male,
57,CD,20-Jun-13,6124,45,417,Flanged Male,
57,CD,20-Jun-13,6124,60,615,Flanged Male,
57,CD,20-Jun-13,6124,80,316,Flanged Male,
58,WA,27-Dec-13,6307,45,669,Nulliparous Female,
58,WA,27-Dec-13,6307,60,774,Nulliparous Female,
58,WA,27-Dec-13,6307,80,1167,Nulliparous Female,
60,JT,04-May-17,7277,45,487,Parous Female,
60,JT,04-May-17,7277,60,374,Parous Female,
60,JT,04-May-17,7277,80,309,Parous Female,
60,JT,04-May-17,7277,125,456,Parous Female,
61,JLN,24-May-17,7295,45,706,Unflanged Male,Y
61,JLN,24-May-17,7295,60,297,Unflanged Male,Y
62,WA,26-Jul-17,7339,60,352,Parous Female,
62,WA,26-Jul-17,7339,80,140,Parous Female,
63,BIB,06-Jul-17,7311,45,376,Parous Female,
63,BIB,06-Jul-17,7311,60,665,Parous Female,
63,BIB,06-Jul-17,7311,80,1043,Parous Female,
64,TA,05-Dec-17,7462,45,340,Parous Female,
64,TA,05-Dec-17,7462,60,537,Parous Female,
64,TA,05-Dec-17,7462,80,395,Parous Female,
64,TA,05-Dec-17,7462,125,304,Parous Female,
66,BIB,04-Aug-17,7365,45,620,Parous Female,
66,BIB,04-Aug-17,7365,60,415,Parous Female,
